#E [MeV]  E**2*dN/dE [erg/cm2/s]  Error on (E**2*dN/dE) [erg/cm2/s]   
  1.0000e+02    1.6355e-10    5.3700e-11 
  1.0048e+02    1.6354e-10    5.3596e-11 
  1.0097e+02    1.6353e-10    5.3493e-11 
  1.0145e+02    1.6353e-10    5.3390e-11 
  1.0194e+02    1.6352e-10    5.3287e-11 
  1.0243e+02    1.6351e-10    5.3185e-11 
  1.0293e+02    1.6350e-10    5.3082e-11 
  1.0342e+02    1.6349e-10    5.2980e-11 
  1.0392e+02    1.6348e-10    5.2877e-11 
  1.0442e+02    1.6347e-10    5.2775e-11 
  1.0493e+02    1.6347e-10    5.2673e-11 
  1.0543e+02    1.6346e-10    5.2571e-11 
  1.0594e+02    1.6345e-10    5.2469e-11 
  1.0645e+02    1.6344e-10    5.2368e-11 
  1.0697e+02    1.6343e-10    5.2266e-11 
  1.0748e+02    1.6342e-10    5.2165e-11 
  1.0800e+02    1.6342e-10    5.2064e-11 
  1.0852e+02    1.6341e-10    5.1963e-11 
  1.0904e+02    1.6340e-10    5.1862e-11 
  1.0957e+02    1.6339e-10    5.1761e-11 
  1.1010e+02    1.6338e-10    5.1660e-11 
  1.1063e+02    1.6337e-10    5.1559e-11 
  1.1116e+02    1.6337e-10    5.1459e-11 
  1.1170e+02    1.6336e-10    5.1359e-11 
  1.1224e+02    1.6335e-10    5.1259e-11 
  1.1278e+02    1.6334e-10    5.1159e-11 
  1.1332e+02    1.6333e-10    5.1059e-11 
  1.1387e+02    1.6332e-10    5.0959e-11 
  1.1442e+02    1.6332e-10    5.0859e-11 
  1.1497e+02    1.6331e-10    5.0760e-11 
  1.1552e+02    1.6330e-10    5.0661e-11 
  1.1608e+02    1.6329e-10    5.0562e-11 
  1.1664e+02    1.6328e-10    5.0463e-11 
  1.1720e+02    1.6327e-10    5.0364e-11 
  1.1777e+02    1.6327e-10    5.0265e-11 
  1.1834e+02    1.6326e-10    5.0166e-11 
  1.1891e+02    1.6325e-10    5.0068e-11 
  1.1948e+02    1.6324e-10    4.9970e-11 
  1.2006e+02    1.6323e-10    4.9872e-11 
  1.2064e+02    1.6322e-10    4.9774e-11 
  1.2122e+02    1.6322e-10    4.9676e-11 
  1.2180e+02    1.6321e-10    4.9578e-11 
  1.2239e+02    1.6320e-10    4.9481e-11 
  1.2298e+02    1.6319e-10    4.9383e-11 
  1.2357e+02    1.6318e-10    4.9286e-11 
  1.2417e+02    1.6317e-10    4.9189e-11 
  1.2477e+02    1.6317e-10    4.9092e-11 
  1.2537e+02    1.6316e-10    4.8996e-11 
  1.2597e+02    1.6315e-10    4.8899e-11 
  1.2658e+02    1.6314e-10    4.8803e-11 
  1.2719e+02    1.6313e-10    4.8707e-11 
  1.2780e+02    1.6312e-10    4.8610e-11 
  1.2842e+02    1.6312e-10    4.8515e-11 
  1.2904e+02    1.6311e-10    4.8419e-11 
  1.2966e+02    1.6310e-10    4.8323e-11 
  1.3029e+02    1.6309e-10    4.8228e-11 
  1.3091e+02    1.6308e-10    4.8133e-11 
  1.3155e+02    1.6307e-10    4.8038e-11 
  1.3218e+02    1.6306e-10    4.7943e-11 
  1.3282e+02    1.6306e-10    4.7848e-11 
  1.3346e+02    1.6305e-10    4.7753e-11 
  1.3410e+02    1.6304e-10    4.7659e-11 
  1.3475e+02    1.6303e-10    4.7565e-11 
  1.3540e+02    1.6302e-10    4.7471e-11 
  1.3605e+02    1.6301e-10    4.7377e-11 
  1.3671e+02    1.6301e-10    4.7283e-11 
  1.3737e+02    1.6300e-10    4.7190e-11 
  1.3803e+02    1.6299e-10    4.7096e-11 
  1.3869e+02    1.6298e-10    4.7003e-11 
  1.3936e+02    1.6297e-10    4.6910e-11 
  1.4003e+02    1.6296e-10    4.6817e-11 
  1.4071e+02    1.6296e-10    4.6725e-11 
  1.4139e+02    1.6295e-10    4.6632e-11 
  1.4207e+02    1.6294e-10    4.6540e-11 
  1.4276e+02    1.6293e-10    4.6448e-11 
  1.4344e+02    1.6292e-10    4.6356e-11 
  1.4414e+02    1.6291e-10    4.6264e-11 
  1.4483e+02    1.6291e-10    4.6173e-11 
  1.4553e+02    1.6290e-10    4.6081e-11 
  1.4623e+02    1.6289e-10    4.5990e-11 
  1.4694e+02    1.6288e-10    4.5899e-11 
  1.4764e+02    1.6287e-10    4.5808e-11 
  1.4836e+02    1.6286e-10    4.5718e-11 
  1.4907e+02    1.6286e-10    4.5627e-11 
  1.4979e+02    1.6285e-10    4.5537e-11 
  1.5051e+02    1.6284e-10    4.5447e-11 
  1.5124e+02    1.6283e-10    4.5357e-11 
  1.5197e+02    1.6282e-10    4.5268e-11 
  1.5270e+02    1.6281e-10    4.5178e-11 
  1.5344e+02    1.6281e-10    4.5089e-11 
  1.5418e+02    1.6280e-10    4.5000e-11 
  1.5492e+02    1.6279e-10    4.4911e-11 
  1.5567e+02    1.6278e-10    4.4823e-11 
  1.5642e+02    1.6277e-10    4.4734e-11 
  1.5717e+02    1.6276e-10    4.4646e-11 
  1.5793e+02    1.6276e-10    4.4558e-11 
  1.5869e+02    1.6275e-10    4.4470e-11 
  1.5946e+02    1.6274e-10    4.4383e-11 
  1.6023e+02    1.6273e-10    4.4295e-11 
  1.6100e+02    1.6272e-10    4.4208e-11 
  1.6177e+02    1.6271e-10    4.4121e-11 
  1.6255e+02    1.6271e-10    4.4034e-11 
  1.6334e+02    1.6270e-10    4.3948e-11 
  1.6413e+02    1.6269e-10    4.3861e-11 
  1.6492e+02    1.6268e-10    4.3775e-11 
  1.6571e+02    1.6267e-10    4.3689e-11 
  1.6651e+02    1.6266e-10    4.3604e-11 
  1.6731e+02    1.6266e-10    4.3518e-11 
  1.6812e+02    1.6265e-10    4.3433e-11 
  1.6893e+02    1.6264e-10    4.3348e-11 
  1.6975e+02    1.6263e-10    4.3263e-11 
  1.7056e+02    1.6262e-10    4.3179e-11 
  1.7139e+02    1.6261e-10    4.3094e-11 
  1.7221e+02    1.6261e-10    4.3010e-11 
