# columns:
# cstat, diff, n_index, index, n_norm, norm 
 550.07 9.8047 0 1.4500 0 0.00090000
 549.48 9.2206 1 1.4590 0 0.00090000
 548.94 8.6712 2 1.4680 0 0.00090000
 548.42 8.1564 3 1.4770 0 0.00090000
 547.94 7.6757 4 1.4860 0 0.00090000
 547.49 7.2288 5 1.4950 0 0.00090000
 547.08 6.8154 6 1.5040 0 0.00090000
 546.70 6.4352 7 1.5130 0 0.00090000
 546.35 6.0878 8 1.5220 0 0.00090000
 546.04 5.7729 9 1.5310 0 0.00090000
 545.75 5.4903 10 1.5400 0 0.00090000
 545.50 5.2395 11 1.5490 0 0.00090000
 545.28 5.0204 12 1.5580 0 0.00090000
 545.10 4.8326 13 1.5670 0 0.00090000
 544.94 4.6758 14 1.5760 0 0.00090000
 544.81 4.5498 15 1.5850 0 0.00090000
 544.72 4.4542 16 1.5940 0 0.00090000
 544.65 4.3888 17 1.6030 0 0.00090000
 544.62 4.3533 18 1.6120 0 0.00090000
 544.61 4.3475 19 1.6210 0 0.00090000
 544.63 4.3710 20 1.6300 0 0.00090000
 544.69 4.4237 21 1.6390 0 0.00090000
 544.77 4.5052 22 1.6480 0 0.00090000
 544.88 4.6154 23 1.6570 0 0.00090000
 545.02 4.7539 24 1.6660 0 0.00090000
 545.18 4.9205 25 1.6750 0 0.00090000
 545.38 5.1150 26 1.6840 0 0.00090000
 545.60 5.3372 27 1.6930 0 0.00090000
 545.85 5.5868 28 1.7020 0 0.00090000
 546.13 5.8636 29 1.7110 0 0.00090000
 546.43 6.1673 30 1.7200 0 0.00090000
 546.76 6.4978 31 1.7290 0 0.00090000
 547.12 6.8548 32 1.7380 0 0.00090000
 547.50 7.2381 33 1.7470 0 0.00090000
 547.91 7.6476 34 1.7560 0 0.00090000
 548.35 8.0829 35 1.7650 0 0.00090000
 548.81 8.5439 36 1.7740 0 0.00090000
 549.29 9.0303 37 1.7830 0 0.00090000
 549.81 9.5415 38 1.7920 0 0.00090000
 550.34 10.077 39 1.8010 0 0.00090000
 550.90 10.637 40 1.8100 0 0.00090000
 551.49 11.221 41 1.8190 0 0.00090000
 552.09 11.830 42 1.8280 0 0.00090000
 552.73 12.462 43 1.8370 0 0.00090000
 553.38 13.117 44 1.8460 0 0.00090000
 554.06 13.796 45 1.8550 0 0.00090000
 554.76 14.499 46 1.8640 0 0.00090000
 555.49 15.224 47 1.8730 0 0.00090000
 556.24 15.973 48 1.8820 0 0.00090000
 557.01 16.744 49 1.8910 0 0.00090000
 557.80 17.539 50 1.9000 0 0.00090000
 556.86 16.596 50 1.9000 1 0.00090800
 556.07 15.810 49 1.8910 1 0.00090800
 555.31 15.047 48 1.8820 1 0.00090800
 554.57 14.307 47 1.8730 1 0.00090800
 553.85 13.590 46 1.8640 1 0.00090800
 553.16 12.896 45 1.8550 1 0.00090800
 552.49 12.226 44 1.8460 1 0.00090800
 551.84 11.580 43 1.8370 1 0.00090800
 551.22 10.957 42 1.8280 1 0.00090800
 550.62 10.359 41 1.8190 1 0.00090800
 550.05 9.7850 40 1.8100 1 0.00090800
 549.50 9.2352 39 1.8010 1 0.00090800
 548.97 8.7100 38 1.7920 1 0.00090800
 548.47 8.2095 37 1.7830 1 0.00090800
 548.00 7.7343 36 1.7740 1 0.00090800
 547.55 7.2848 35 1.7650 1 0.00090800
 547.12 6.8612 34 1.7560 1 0.00090800
 546.73 6.4637 33 1.7470 1 0.00090800
 546.36 6.0926 32 1.7380 1 0.00090800
 546.01 5.7481 31 1.7290 1 0.00090800
 545.69 5.4303 30 1.7200 1 0.00090800
 545.40 5.1395 29 1.7110 1 0.00090800
 545.14 4.8760 28 1.7020 1 0.00090800
 544.90 4.6399 27 1.6930 1 0.00090800
 544.70 4.4314 26 1.6840 1 0.00090800
 544.51 4.2509 25 1.6750 1 0.00090800
 544.36 4.0985 24 1.6660 1 0.00090800
 544.24 3.9745 23 1.6570 1 0.00090800
 544.14 3.8792 22 1.6480 1 0.00090800
 544.08 3.8127 21 1.6390 1 0.00090800
 544.04 3.7753 20 1.6300 1 0.00090800
 544.03 3.7674 19 1.6210 1 0.00090800
 544.05 3.7891 18 1.6120 1 0.00090800
 544.10 3.8407 17 1.6030 1 0.00090800
 544.19 3.9225 16 1.5940 1 0.00090800
 544.30 4.0348 15 1.5850 1 0.00090800
 544.44 4.1778 14 1.5760 1 0.00090800
 544.62 4.3518 13 1.5670 1 0.00090800
 544.82 4.5572 12 1.5580 1 0.00090800
 545.06 4.7942 11 1.5490 1 0.00090800
 545.33 5.0631 10 1.5400 1 0.00090800
 545.63 5.3642 9 1.5310 1 0.00090800
 545.96 5.6978 8 1.5220 1 0.00090800
 546.33 6.0642 7 1.5130 1 0.00090800
 546.73 6.4638 6 1.5040 1 0.00090800
 547.16 6.8968 5 1.4950 1 0.00090800
 547.63 7.3637 4 1.4860 1 0.00090800
 548.13 7.8647 3 1.4770 1 0.00090800
 548.66 8.4001 2 1.4680 1 0.00090800
 549.23 8.9703 1 1.4590 1 0.00090800
 549.84 9.5757 0 1.4500 1 0.00090800
 549.66 9.3993 0 1.4500 2 0.00091600
 549.04 8.7727 1 1.4590 2 0.00091600
 548.45 8.1816 2 1.4680 2 0.00091600
 547.89 7.6255 3 1.4770 2 0.00091600
 547.37 7.1043 4 1.4860 2 0.00091600
 546.88 6.6175 5 1.4950 2 0.00091600
 546.43 6.1648 6 1.5040 2 0.00091600
 546.01 5.7458 7 1.5130 2 0.00091600
 545.62 5.3603 8 1.5220 2 0.00091600
 545.27 5.0080 9 1.5310 2 0.00091600
 544.95 4.6885 10 1.5400 2 0.00091600
 544.67 4.4014 11 1.5490 2 0.00091600
 544.41 4.1466 12 1.5580 2 0.00091600
 544.19 3.9237 13 1.5670 2 0.00091600
 544.00 3.7324 14 1.5760 2 0.00091600
 543.84 3.5724 15 1.5850 2 0.00091600
 543.71 3.4434 16 1.5940 2 0.00091600
 543.61 3.3452 17 1.6030 2 0.00091600
 543.54 3.2774 18 1.6120 2 0.00091600
 543.50 3.2399 19 1.6210 2 0.00091600
 543.50 3.2322 20 1.6300 2 0.00091600
 543.52 3.2543 21 1.6390 2 0.00091600
 543.57 3.3057 22 1.6480 2 0.00091600
 543.65 3.3863 23 1.6570 2 0.00091600
 543.76 3.4958 24 1.6660 2 0.00091600
 543.90 3.6339 25 1.6750 2 0.00091600
 544.06 3.8004 26 1.6840 2 0.00091600
 544.26 3.9951 27 1.6930 2 0.00091600
 544.48 4.2178 28 1.7020 2 0.00091600
 544.73 4.4681 29 1.7110 2 0.00091600
 545.01 4.7459 30 1.7200 2 0.00091600
 545.31 5.0510 31 1.7290 2 0.00091600
 545.65 5.3830 32 1.7380 2 0.00091600
 546.01 5.7419 33 1.7470 2 0.00091600
 546.39 6.1274 34 1.7560 2 0.00091600
 546.80 6.5392 35 1.7650 2 0.00091600
 547.24 6.9772 36 1.7740 2 0.00091600
 547.71 7.4412 37 1.7830 2 0.00091600
 548.19 7.9309 38 1.7920 2 0.00091600
 548.71 8.4456 39 1.8010 2 0.00091600
 549.25 8.9851 40 1.8100 2 0.00091600
 549.81 9.5493 41 1.8190 2 0.00091600
 550.40 10.138 42 1.8280 2 0.00091600
 551.01 10.751 43 1.8370 2 0.00091600
 551.65 11.388 44 1.8460 2 0.00091600
 552.31 12.048 45 1.8550 2 0.00091600
 553.00 12.733 46 1.8640 2 0.00091600
 553.70 13.441 47 1.8730 2 0.00091600
 554.44 14.173 48 1.8820 2 0.00091600
 555.19 14.928 49 1.8910 2 0.00091600
 555.97 15.706 50 1.9000 2 0.00091600
 555.13 14.867 50 1.9000 3 0.00092400
 554.36 14.097 49 1.8910 3 0.00092400
 553.61 13.350 48 1.8820 3 0.00092400
 552.89 12.627 47 1.8730 3 0.00092400
 552.19 11.928 46 1.8640 3 0.00092400
 551.52 11.252 45 1.8550 3 0.00092400
 550.86 10.600 44 1.8460 3 0.00092400
 550.24 9.9729 43 1.8370 3 0.00092400
 549.63 9.3696 42 1.8280 3 0.00092400
 549.05 8.7909 41 1.8190 3 0.00092400
 548.50 8.2368 40 1.8100 3 0.00092400
 547.97 7.7076 39 1.8010 3 0.00092400
 547.47 7.2033 38 1.7920 3 0.00092400
 546.99 6.7246 37 1.7830 3 0.00092400
 546.54 6.2719 36 1.7740 3 0.00092400
 546.11 5.8453 35 1.7650 3 0.00092400
 545.71 5.4452 34 1.7560 3 0.00092400
 545.34 5.0717 33 1.7470 3 0.00092400
 544.99 4.7251 32 1.7380 3 0.00092400
 544.67 4.4055 31 1.7290 3 0.00092400
 544.38 4.1132 30 1.7200 3 0.00092400
 544.11 3.8484 29 1.7110 3 0.00092400
 543.88 3.6113 28 1.7020 3 0.00092400
 543.67 3.4021 27 1.6930 3 0.00092400
 543.48 3.2211 26 1.6840 3 0.00092400
 543.33 3.0686 25 1.6750 3 0.00092400
 543.21 2.9447 24 1.6660 3 0.00092400
 543.11 2.8497 23 1.6570 3 0.00092400
 543.05 2.7839 22 1.6480 3 0.00092400
 543.01 2.7475 21 1.6390 3 0.00092400
 543.00 2.7408 20 1.6300 3 0.00092400
 543.03 2.7640 19 1.6210 3 0.00092400
 543.08 2.8174 18 1.6120 3 0.00092400
 543.17 2.9013 17 1.6030 3 0.00092400
 543.28 3.0160 16 1.5940 3 0.00092400
 543.43 3.1616 15 1.5850 3 0.00092400
 543.60 3.3386 14 1.5760 3 0.00092400
 543.81 3.5472 13 1.5670 3 0.00092400
 544.05 3.7877 12 1.5580 3 0.00092400
 544.32 4.0604 11 1.5490 3 0.00092400
 544.63 4.3655 10 1.5400 3 0.00092400
 544.97 4.7035 9 1.5310 3 0.00092400
 545.34 5.0746 8 1.5220 3 0.00092400
 545.74 5.4791 7 1.5130 3 0.00092400
 546.18 5.9174 6 1.5040 3 0.00092400
 546.65 6.3898 5 1.4950 3 0.00092400
 547.16 6.8966 4 1.4860 3 0.00092400
 547.70 7.4381 3 1.4770 3 0.00092400
 548.28 8.0147 2 1.4680 3 0.00092400
 548.89 8.6268 1 1.4590 3 0.00092400
 549.54 9.2747 0 1.4500 3 0.00092400
 549.46 9.2008 0 1.4500 4 0.00093200
 548.80 8.5317 1 1.4590 4 0.00093200
 548.16 7.8987 2 1.4680 4 0.00093200
 547.57 7.3015 3 1.4770 4 0.00093200
 547.00 6.7396 4 1.4860 4 0.00093200
 546.48 6.2129 5 1.4950 4 0.00093200
 545.98 5.7209 6 1.5040 4 0.00093200
 545.53 5.2632 7 1.5130 4 0.00093200
 545.10 4.8397 8 1.5220 4 0.00093200
 544.71 4.4499 9 1.5310 4 0.00093200
 544.36 4.0934 10 1.5400 4 0.00093200
 544.03 3.7701 11 1.5490 4 0.00093200
 543.74 3.4796 12 1.5580 4 0.00093200
 543.49 3.2216 13 1.5670 4 0.00093200
 543.26 2.9957 14 1.5760 4 0.00093200
 543.07 2.8017 15 1.5850 4 0.00093200
 542.90 2.6394 16 1.5940 4 0.00093200
 542.77 2.5083 17 1.6030 4 0.00093200
 542.67 2.4083 18 1.6120 4 0.00093200
 542.60 2.3390 19 1.6210 4 0.00093200
 542.56 2.3002 20 1.6300 4 0.00093200
 542.56 2.2916 21 1.6390 4 0.00093200
 542.58 2.3129 22 1.6480 4 0.00093200
 542.63 2.3640 23 1.6570 4 0.00093200
 542.71 2.4444 24 1.6660 4 0.00093200
 542.82 2.5541 25 1.6750 4 0.00093200
 542.96 2.6926 26 1.6840 4 0.00093200
 543.12 2.8598 27 1.6930 4 0.00093200
 543.32 3.0555 28 1.7020 4 0.00093200
 543.54 3.2794 29 1.7110 4 0.00093200
 543.80 3.5313 30 1.7200 4 0.00093200
 544.07 3.8108 31 1.7290 4 0.00093200
 544.38 4.1180 32 1.7380 4 0.00093200
 544.72 4.4524 33 1.7470 4 0.00093200
 545.08 4.8139 34 1.7560 4 0.00093200
 545.47 5.2022 35 1.7650 4 0.00093200
 545.88 5.6173 36 1.7740 4 0.00093200
 546.32 6.0587 37 1.7830 4 0.00093200
 546.79 6.5265 38 1.7920 4 0.00093200
 547.28 7.0201 39 1.8010 4 0.00093200
 547.80 7.5391 40 1.8100 4 0.00093200
 548.35 8.0832 41 1.8190 4 0.00093200
 548.92 8.6521 42 1.8280 4 0.00093200
 549.51 9.2458 43 1.8370 4 0.00093200
 550.13 9.8639 44 1.8460 4 0.00093200
 550.77 10.506 45 1.8550 4 0.00093200
 551.44 11.173 46 1.8640 4 0.00093200
 552.13 11.864 47 1.8730 4 0.00093200
 552.84 12.579 48 1.8820 4 0.00093200
 553.58 13.317 49 1.8910 4 0.00093200
 554.34 14.079 50 1.9000 4 0.00093200
 553.60 13.341 50 1.9000 5 0.00094000
 552.85 12.587 49 1.8910 5 0.00094000
 552.12 11.857 48 1.8820 5 0.00094000
 551.41 11.151 47 1.8730 5 0.00094000
 550.73 10.468 46 1.8640 5 0.00094000
 550.07 9.8106 45 1.8550 5 0.00094000
 549.44 9.1772 44 1.8460 5 0.00094000
 548.83 8.5684 43 1.8370 5 0.00094000
 548.25 7.9844 42 1.8280 5 0.00094000
 547.69 7.4252 41 1.8190 5 0.00094000
 547.16 6.8912 40 1.8100 5 0.00094000
 546.65 6.3825 39 1.8010 5 0.00094000
 546.16 5.8995 38 1.7920 5 0.00094000
 545.71 5.4428 37 1.7830 5 0.00094000
 545.28 5.0126 36 1.7740 5 0.00094000
 544.87 4.6091 35 1.7650 5 0.00094000
 544.50 4.2325 34 1.7560 5 0.00094000
 544.15 3.8830 33 1.7470 5 0.00094000
 543.82 3.5608 32 1.7380 5 0.00094000
 543.53 3.2661 31 1.7290 5 0.00094000
 543.26 2.9993 30 1.7200 5 0.00094000
 543.02 2.7604 29 1.7110 5 0.00094000
 542.81 2.5497 28 1.7020 5 0.00094000
 542.63 2.3675 27 1.6930 5 0.00094000
 542.48 2.2140 26 1.6840 5 0.00094000
 542.35 2.0895 25 1.6750 5 0.00094000
 542.26 1.9941 24 1.6660 5 0.00094000
 542.19 1.9282 23 1.6570 5 0.00094000
 542.16 1.8919 22 1.6480 5 0.00094000
 542.15 1.8856 21 1.6390 5 0.00094000
 542.17 1.9095 20 1.6300 5 0.00094000
 542.23 1.9639 19 1.6210 5 0.00094000
 542.31 2.0491 18 1.6120 5 0.00094000
 542.43 2.1652 17 1.6030 5 0.00094000
 542.58 2.3127 16 1.5940 5 0.00094000
 542.76 2.4918 15 1.5850 5 0.00094000
